ccxNodeId,foamPointLabel,x,y,z
541,12836,0.721821,0.000809194,0.1
542,25994,0.721821,0.000809194,0.15
543,12841,0.499201,0.049099,0.1
544,12842,0.506756,0.0477951,0.1
545,26000,0.506756,0.0477951,0.15
546,25999,0.499201,0.049099,0.15
547,12847,0.247727,-0.0467405,0.1
548,12848,0.242354,-0.0465126,0.1
549,26006,0.242354,-0.0465126,0.15
550,26005,0.247727,-0.0467405,0.15
551,12851,0.236982,-0.0462871,0.1
552,26009,0.236982,-0.0462871,0.15
553,12856,0.333933,-0.0500063,0.1
554,12857,0.328558,-0.0498028,0.1
555,26015,0.328558,-0.0498028,0.15
556,26014,0.333933,-0.0500063,0.15
557,12860,0.323184,-0.0495994,0.1
558,26018,0.323184,-0.0495994,0.15
559,12865,0.285341,-0.0481975,0.1
560,12866,0.279968,-0.0479779,0.1
561,26024,0.279968,-0.0479779,0.15
562,26023,0.285341,-0.0481975,0.15
563,12869,0.290672,-0.0484029,0.1
564,26027,0.290672,-0.0484029,0.15
565,12874,0.37155,-0.051597,0.1
566,12875,0.366179,-0.0513495,0.1
567,26033,0.366179,-0.0513495,0.15
568,26032,0.37155,-0.051597,0.15
569,12878,0.376921,-0.0518455,0.1
570,26036,0.376921,-0.0518455,0.15
571,12883,0.419827,-0.0538675,0.1
572,12884,0.41451,-0.0536137,0.1
573,26042,0.41451,-0.0536137,0.15
574,26041,0.419827,-0.0538675,0.15
575,12887,0.40914,-0.0533575,0.1
576,26045,0.40914,-0.0533575,0.15
577,12892,0.828942,-0.0757214,0.1
578,12893,0.823587,-0.0753457,0.1
579,26051,0.823587,-0.0753457,0.15
580,26050,0.828942,-0.0757214,0.15
581,12896,0.839603,-0.0764658,0.1
582,26054,0.839603,-0.0764658,0.15
583,12899,0.818231,-0.0749693,0.1
584,26057,0.818231,-0.0749693,0.15
585,12902,0.807521,-0.0742103,0.1
586,26060,0.807521,-0.0742103,0.15
587,12907,0.931525,-0.0626644,0.1
588,12908,0.935899,-0.064188,0.1
589,26066,0.935899,-0.064188,0.15
590,26065,0.931525,-0.0626644,0.15
591,12913,0.0644172,0.0463388,0.1
592,12914,0.0719241,0.0486166,0.1
593,26072,0.0719241,0.0486166,0.15
594,26071,0.0644172,0.0463388,0.15
595,12917,0.0763542,0.0498615,0.1
596,26075,0.0763542,0.0498615,0.15
597,12920,0.494676,0.0498381,0.1
598,26078,0.494676,0.0498381,0.15
599,12925,0.602978,0.0290809,0.1
600,12926,0.608045,0.0279912,0.1
601,26084,0.608045,0.0279912,0.15
602,26083,0.602978,0.0290809,0.15
603,12929,0.634906,0.0220414,0.1
604,26087,0.634906,0.0220414,0.15
605,12932,0.612971,0.0269002,0.1
606,26090,0.612971,0.0269002,0.15
607,12935,0.683121,0.0106597,0.1
608,26093,0.683121,0.0106597,0.15
609,12938,0.704909,0.00519345,0.1
610,26096,0.704909,0.00519345,0.15
611,12941,0.168401,-0.0430676,0.1
612,26099,0.168401,-0.0430676,0.15
613,12944,0.188653,-0.0441511,0.1
614,26102,0.188653,-0.0441511,0.15
615,12947,0.210125,-0.0451727,0.1
616,26105,0.210125,-0.0451727,0.15
617,12950,0.726504,-0.00042116,0.1
618,26108,0.726504,-0.00042116,0.15
619,12953,0.854118,-0.0371909,0.1
620,26111,0.854118,-0.0371909,0.15
621,12956,0.511609,0.0469551,0.1
622,26114,0.511609,0.0469551,0.15
623,12959,0.531468,0.0434035,0.1
624,26117,0.531468,0.0434035,0.15
625,12962,0.253103,-0.0469497,0.1
626,26120,0.253103,-0.0469497,0.15
627,12965,0.231608,-0.0460759,0.1
628,26123,0.231608,-0.0460759,0.15
629,12968,0.339307,-0.0502105,0.1
630,26126,0.339307,-0.0502105,0.15
631,12971,0.31781,-0.0493961,0.1
632,26129,0.31781,-0.0493961,0.15
633,12974,0.274599,-0.0477589,0.1
634,26132,0.274599,-0.0477589,0.15
635,12977,0.295611,-0.0485788,0.1
636,26135,0.295611,-0.0485788,0.15
637,12980,0.360808,-0.051107,0.1
638,26138,0.360808,-0.051107,0.15
639,12983,0.382291,-0.0520939,0.1
640,26141,0.382291,-0.0520939,0.15
641,12988,0.432104,-0.0544578,0.1
642,12989,0.424765,-0.0541034,0.1
643,26147,0.424765,-0.0541034,0.15
644,26146,0.432104,-0.0544578,0.15
645,12992,0.436587,-0.0546743,0.1
646,26150,0.436587,-0.0546743,0.15
647,12995,0.403771,-0.0531016,0.1
648,26153,0.403771,-0.0531016,0.15
649,13000,0.522184,-0.0586164,0.1
650,13001,0.516814,-0.0583614,0.1
651,26159,0.516814,-0.0583614,0.15
652,26158,0.522184,-0.0586164,0.15
653,13004,0.511445,-0.0581157,0.1
654,26162,0.511445,-0.0581157,0.15
655,13009,0.484592,-0.0568965,0.1
656,13010,0.479222,-0.056643,0.1
657,26168,0.479222,-0.056643,0.15
658,26167,0.484592,-0.0568965,0.15
659,13013,0.489962,-0.05715,0.1
660,26171,0.489962,-0.05715,0.15
661,13016,0.44167,-0.0549198,0.1
662,26174,0.44167,-0.0549198,0.15
663,13019,0.446993,-0.0551712,0.1
664,26177,0.446993,-0.0551712,0.15
665,13022,0.473852,-0.0563895,0.1
666,26180,0.473852,-0.0563895,0.15
667,13025,0.468482,-0.0561361,0.1
668,26183,0.468482,-0.0561361,0.15
669,13028,0.527554,-0.0588714,0.1
670,26186,0.527554,-0.0588714,0.15
671,13031,0.532924,-0.0591264,0.1
672,26189,0.532924,-0.0591264,0.15
673,13034,0.984285,-0.0815174,0.1
674,26192,0.984285,-0.0815174,0.15
